class_name,class_id,recurring,credit_hours,prereqs,requirement_designation,campus,class_desc,,
Topics in Afr American Studies: Indigeneity of the South,AAS385,fall/spring,3,,History Society Cultures,EM,"This course explores one of a wide range of topics pertaining to the African American experience in the fields of human and civil rights, social and literary texts, and the social sciences.",,
Topics in Afr American Studies: Black Marxism,AAS385,fall/spring,3,,History Society Cultures,EM,"This course explores one of a wide range of topics pertaining to the African American experience in the fields of human and civil rights, social and literary texts, and the social sciences.",,
Topics in Afr American Studies: Vodou not Voodoo,AAS385,fall/spring,3,,Humanities Arts Performance,EM,"This course explores one of a wide range of topics pertaining to the African American experience in the fields of human and civil rights, social and literary texts, and the social sciences.",,
Topics in Afr American Studies: Black Ecologies,AAS385W,fall/spring,4,,Humanities Arts Performance with Writing,EM,"This course explores one of a wide range of topics pertaining to the African American experience in the fields of human and civil rights, social and literary texts, and the social sciences.",,
Senior Seminar,AAS490R,spring,3,,History Society Cultures,EM,"Spring. Multidisciplinary in nature, the readings of the senior seminar reflect the centrality of the historical and cultural contributions of African Americans to American history and culture.",,
Honors Thesis,AAS495BW,fall/spring,5,,Continuing Communication,EM,Variable credit with a maximum credit of eight hours. Prerequisite: approval of adviser and the director of undergraduate studies. Open to majors and minors writing honors thesis. Writing requirement.,,
Honors Thesis,AAS495BW,fall/spring,3,,Continuing Communication,EM,Variable credit with a maximum credit of eight hours. Prerequisite: approval of adviser and the director of undergraduate studies. Open to majors and minors writing honors thesis. Writing requirement.,,
Topics in African American Studies: Blackness and Psychoanalysis,AAS585R,fall/spring/summer,3,,,EM,A graduate seminar exploring a range of topics.,,
Topics in African American Studies: The Black Atlantic:,AAS585R,fall/spring/summer,3,,,EM,A graduate seminar exploring a range of topics.,,
Topics in African American Studies: Caribbean Haunting,AAS585R,fall/spring/summer,3,,,EM,A graduate seminar exploring a range of topics.,,
Topics in African American Studies: The Black Left,AAS585R,fall/spring/summer,3,,,EM,A graduate seminar exploring a range of topics.,,
African American Studies Dissertation Colloquium,AAS598R,fall/spring,3,,,EM,This colloquium for 3rd-year AAS PhD students facilitates intellectual exchanges and creates a space for the drafting of the dissertation prospectus. AAS PhD students only.,,
Research,AAS599R,fall/spring/summer,3,,,EM,Research credits for students who have yet to reach candidacy in the AAS PhD program.,,
Theorizing Blackness,AAS703,fall/spring,3,,,EM,This course will focus on theoretical approaches and paradigms that shape discourses in African American Studies.,,
Topics in Gender and Sexuality: Fanon & the Quest.of Sexuality,AAS710,fall/spring,3,,,EM,This course introduces students to critical readings in African American gender and sexuality studies.,,
Topics in Gender and Sexuality: Black Feminist Creativity,AAS710,fall/spring,3,,,EM,This course introduces students to critical readings in African American gender and sexuality studies.,,
Topics in Social Justice and Social Movements: The Civil Rights Movement,AAS720,fall/spring,3,,,EM,This course introduces students to critical readings in studies of African American social justice and social movements.,,
Topics in Expressive Arts and Cultures: Theor Issu in the St Black Rel,AAS730,fall/spring,3,,,EM,,,
African American Studies Pedagogy Workshop,AAS786R,fall/spring/summer,1,,,EM,This workshop will help prepare advanced AAS graduate students to teach independent courses.,,
Examination Preparation,AAS791,fall/spring/summer,9,,,EM,Independent study credits for students preparing to take qualifying exams during Fall of Year 3.,,
Prospectus Preparation,AAS792,fall/spring/summer,6,,,EM,"Independent study credits for students preparing to revise, submit, and defend the dissertation prospectus during Spring of Year 3.",,
Directed Study,AAS797R,fall/spring/summer,3,,,EM,"The course provides a more in-depth study on specific topics that will result in readings, discussions, research, and sometimes project presentations. Faculty permision required.",,
Dissertation Research,AAS799R,fall/spring/summer,9,AAS598R; AAS792,,EM,Students who have reached candidacy and are working on dissertation completion are enrolled in this course and supervised by their advisor as they complete their degree requirements.,,
Accounting: The Language of Business,ACT200,fall/spring,3,ACT210 or ACT_OX210 or ACT211 or ACT_OX211 or ACT200,,EM,"Accounting is called ""the language of business"" because its purpose is to measure, analyze, and report financial and nonfinancial information to help plan, communicate, and implement an organization's strategic goals and evaluate and control its performance. Using real data, you will learn to identify and measure costs and benefits for decision-making, effectively allocate an organization's economic resources, analyze typical business transactions, construct and interpret financial statements, and use financial and nonfinancial measures to evaluate an organization's economic performance.",,
Managerial Accounting,ACT211,fall/spring,3,ACT200 or ACT_OX200 or ACT210 or ACT_OX210 or ACT200 or ACT211,,EM,"Introduction to the concepts, assumptions, and methods underlying managerial accounting, with an emphasis on using accounting information to plan and control a company's operations. Topics include information relevant for decision-making, cost behavior, activity-based costing, pricing, cost-volume-profit analysis, operating budgets and variance analysis, capital budgeting, and performance evaluation.",,
Business Analysis & Valuation,ACT300,spring,3,ACT200 or ACT_OX200 or ACT210 or ACT_OX210,,EM,"Using financial statements to analyze and value businesses is a key skill needed for careers in fields like consulting, investment banking, public accounting, corporate finance, and venture capital and private equity. This course will teach you how to extract information from financial statements to gain insights into a company¿s current business performance and risk. You will also learn cutting-edge techniques to forecast future earnings and cash flows, estimate firm value, and challenge the market¿s assumptions driving the stock prices of well-known companies operating around the world.",,
Strategic Cost Management,ACT301,fall/spring,3,ACT200 or ACT_OX200 or ACT210 or ACT_OX210,,EM,"This course covers the internal generation and interpretation of information for strategic and operational decision-making purposes, which is of paramount importance for decision-making in organizations. You will learn how to identify information that is relevant for decision-making, cost and revenue behavior, different costing techniques, profit planning, customer profitability analysis, and how to evaluate performance against plans. This course is especially useful if you are interested in consulting and will prepare you for your interviews with consulting companies.",,
Blockchains & Crypto Assets,ACT304,spring,3,,,EM,"This course will discuss the transformative world of blockchains and crypto assets and how they are reshaping aspects of accounting, finance, and global trade. We will cover the evolution of money, inflation, ledgers, and the impact of decentralized systems on the modern economy. We will cover foundational concepts such as decentralization, cryptography, consensus mechanisms, and block creation to show how crypto assets are tied to blockchains. We will discuss topics such as tokenomics, staking, and farming and potential opportunities and risks associated with blockchain and crypto assets.",,
Accounting for Government and Nonprofit Organizations,ACT316,fall/spring,3,ACT200 or ACT_OX200,,EM,"This course covers financial reporting and analysis of government and nonprofit organizations. We will cover topics related to governments, including fund accounting, general and special-purpose funds, and government-wide financial statements for both Federal and state/local organizations. We will also cover topics related to nonprofits, including tax exempt status, Form 990, unrelated business income, private foundations, contributed vs. earned income, functional expenses, endowments, split-interest agreements, and mergers and acquisitions.",,
Financial Reporting of Debt & Equity,ACT325,spring,3,ACT200 or ACT_OX200 or ACT210 or ACT_OX210,,EM,"This course builds on the foundational knowledge learned in ACT 200 and focuses on financing instruments, such as bonds, leases, and stocks. You will develop the skills and knowledge to read, understand, and evaluate the financial reporting of debt and equity on both the face of the financial statements and the detailed footnotes. We will also cover accounting for income taxes, stock compensation, treasury stock buybacks, derivatives. and earnings per share. This course will teach you about these transactions from the perspective of both the preparer and user of a company's financial statements, using real-world examples and cases.",,
Personal Financial Planning,ACT330,fall/spring,3,,,EM,"In this course, you will develop an understanding of the assumptions, principles, procedures, and concepts underlying personal financial planning with an emphasis on developing personal and financial goals, understanding sources of income, budgeting cash flows, saving emergency funds in the short term and developing relevant objectives, managing risk through insurance, taking advantage of employer provided benefits, tackling major life transactions, filing and minimizing taxes, navigating wills, trusts, estates, advanced directives, and power of attorney, and developing a financial plan.",,
Study Abroad Accounting Elective (General),ACT400,,6,,,EM,Study Abroad Accounting Elective (General),,
Study Abroad Accounting Elective (Related),ACT409,,6,,,EM,Study Abroad Accounting Elective (Related),,
Legal Environment of Business,ACT410,fall/spring/summer,3,,,EM,"Survey of  the legal environment in which business enterprises operate. Topics include jurisprudential thought, sources of law, separation of powers, business ethics, constitutional law, regulation of interstate commerce, bill of rights, administrative law, and civil procedure.",,
Directed Study: GA Inhumane Dog Breeding Legis,ACT497,fall/spring/summer,3,,,EM,"A Directed Study (DS) is conducted with permission and semi-autonomously, under the supervision of a Goizueta faculty member. The content should represent a line of intellectual inquiry that is aligned with, but falls outside, what is available in the context of the School's elective offerings. It replaces an academic course and may carry variable academic hours. The DS project should contain significant & commensurate content that carries the rigor, time commitment & standards of an elective in the area of study.",,
Directed Study: Legal Concerns of AI in Media,ACT497,fall/spring/summer,3,,,EM,"A Directed Study (DS) is conducted with permission and semi-autonomously, under the supervision of a Goizueta faculty member. The content should represent a line of intellectual inquiry that is aligned with, but falls outside, what is available in the context of the School's elective offerings. It replaces an academic course and may carry variable academic hours. The DS project should contain significant & commensurate content that carries the rigor, time commitment & standards of an elective in the area of study.",,
Directed Study: Art Law/Contracts,ACT497,fall/spring/summer,3,,,EM,"A Directed Study (DS) is conducted with permission and semi-autonomously, under the supervision of a Goizueta faculty member. The content should represent a line of intellectual inquiry that is aligned with, but falls outside, what is available in the context of the School's elective offerings. It replaces an academic course and may carry variable academic hours. The DS project should contain significant & commensurate content that carries the rigor, time commitment & standards of an elective in the area of study.",,
Directed Study: NIL in Men's Basketball,ACT497,fall/spring/summer,3,,,EM,"A Directed Study (DS) is conducted with permission and semi-autonomously, under the supervision of a Goizueta faculty member. The content should represent a line of intellectual inquiry that is aligned with, but falls outside, what is available in the context of the School's elective offerings. It replaces an academic course and may carry variable academic hours. The DS project should contain significant & commensurate content that carries the rigor, time commitment & standards of an elective in the area of study.",,
"Directed Study: Art Law, Fraud, & Tax Evasion",ACT497,fall/spring/summer,3,,,EM,"A Directed Study (DS) is conducted with permission and semi-autonomously, under the supervision of a Goizueta faculty member. The content should represent a line of intellectual inquiry that is aligned with, but falls outside, what is available in the context of the School's elective offerings. It replaces an academic course and may carry variable academic hours. The DS project should contain significant & commensurate content that carries the rigor, time commitment & standards of an elective in the area of study.",,
Directed Study: Right to Repair,ACT497,fall/spring/summer,3,,,EM,"A Directed Study (DS) is conducted with permission and semi-autonomously, under the supervision of a Goizueta faculty member. The content should represent a line of intellectual inquiry that is aligned with, but falls outside, what is available in the context of the School's elective offerings. It replaces an academic course and may carry variable academic hours. The DS project should contain significant & commensurate content that carries the rigor, time commitment & standards of an elective in the area of study.",,
Special Topics: Machine Learning,ACT499R,,3,ACT200 or ACT_OX200,,EM,Special topics in accounting.,,
Strategic Cost Management,ACT501,fall/spring,3,ACT200 or ACT_OX200 or ACT210 or ACT_OX210 or ACT512,,EM,"This course covers the internal generation and interpretation of information for strategic and operational decision-making purposes, which is of paramount importance for decision-making in organizations. You will learn how to identify information that is relevant for decision-making, cost and revenue behavior, different costing techniques, profit planning, customer profitability analysis, and how to evaluate performance against plans. This course is especially useful if you are interested in consulting and will prepare you for your interviews with consulting companies.",,
Blockchains & Crypto Assets,ACT504,spring,3,,,EM,"This course will discuss the transformative world of blockchains and crypto assets and how they are reshaping aspects of accounting, finance, and global trade. We will cover the evolution of money, inflation, ledgers, and the impact of decentralized systems on the modern economy. We will cover foundational concepts such as decentralization, cryptography, consensus mechanisms, and block creation to show how crypto assets are tied to blockchains. We will discuss topics such as tokenomics, staking, and farming and potential opportunities and risks associated with blockchain and crypto assets.",,
Financial Reporting & Analysis,ACT512,,3,,,EM,"Introduction to the concepts, assumptions, principles, and procedures underlying financial accounting, with an emphasis on understanding how a company's operating, investing, and financing activities are reported on its financial statements.",,
Managerial Accounting,ACT513,,3,,,EM,"Introduction to the concepts, assumptions, and methods underlying managerial accounting, with an emphasis on using accounting information to plan and control a company's operations. Topics include information relevant for decision-making, cost behavior, activity-based costing, pricing, cost-volume-profit analysis, operating budgets and variance analysis, capital budgeting, and performance evaluation.",,
Managerial Accounting,ACT513A,,2,,,EM,"Introduction to the concepts, assumptions, and methods underlying managerial accounting, with an emphasis on using accounting information to plan and control a company's operations. Topics include information relevant for decision-making, cost behavior, activity-based costing, pricing, cost-volume-profit analysis, operating budgets and variance analysis, capital budgeting, and performance evaluation. For MEMBA students.",,
Financial Statement Analysis and Valuation,ACT514,fall/spring,3,,,EM,"Methods and techniques commonly used to analyze financial statements of US and multinational companies: business strategy analysis, transaction analysis, assessment of earnings quality, financial ratio and cash flow analysis, credit analysis and bankruptcy prediction, forecasting accounting numbers and pro forma statements, and valuation using discounted cash flows, residual income, and market multiples.",,
Accounting for Government and Nonprofit Organizations,ACT516,fall,3,ACT200 or ACT_OX200 or ACT210 or ACT_OX210 or ACT512,,EM,"This course covers financial reporting and analysis of government and nonprofit organizations. We will cover topics related to governments, including fund accounting, general and special-purpose funds, and government-wide financial statements for both Federal and state/local organizations. We will also cover topics related to nonprofits, including tax exempt status, Form 990, unrelated business income, private foundations, contributed vs. earned income, functional expenses, endowments, split-interest agreements, and mergers and acquisitions.",,
Personal Financial Planning,ACT530,fall/spring,3,,,EM,"In this course, you will develop an understanding of the assumptions, principles, procedures, and concepts underlying personal financial planning with an emphasis on developing personal and financial goals, understanding sources of income, budgeting cash flows, saving emergency funds in the short term and developing relevant objectives, managing risk through insurance, taking advantage of employer provided benefits, tackling major life transactions, filing and minimizing taxes, navigating wills, trusts, estates, advanced directives, and power of attorney, and developing a financial plan.",,
Cost and Performance Measurement in Healthcare,ACT592,spring,5,,,EM,"This course will introduce and apply some of the basic concepts and techniques learned in an introductory management accounting course to the unique setting of health care. We will examine topics related to resource planning, understanding cost behavior and cost drivers, costing of services (including the application of time-driven activity-based costing), and the assessment of performance relative to a budget. The case-based course will dive into these topics using examples from health care organizations (e.g., hospitals, clinics, and/or health care service providers). The aim of the course is to prepare students working in the health care industry to apply modern costing concepts and techniques in their workplace.",,
Special Topics: Compensation & Man. Control,ACT599R,,3,ACT200 or ACT_OX200 or ACT210 or ACT_OX210,,EM,,,
Special Topics: Machine Learning,ACT599R,,3,ACT200 or ACT_OX200 or ACT210 or ACT_OX210,,EM,,,
Auditing,ACT618,spring,3,ACT200 or ACT_OX200 or ACT210 or ACT_OX210 or ACT512,,EM,"In this course, you will learn how to make professional judgments involved in providing audits and other assurance services, with a focus on audits of financial statements. You will develop a broad theoretical understanding of fundamental auditing concepts (e.g., assertions, audit risk, materiality, risk assessment, client acceptance, planning, internal control, evidence, reporting, audit quality). The course will provide you with an understanding of why auditors do the things they do (or, in some cases, why they should do the things they should do).",,
Financial Reporting of Debt & Equity,ACT625,spring,3,ACT200 or ACT_OX200 or ACT210 or ACT_OX210 or ACT512,,EM,"This course builds on the foundational knowledge learned in ACT 200 and focuses on financing instruments, such as bonds, leases, and stocks. You will develop the skills and knowledge to read, understand, and evaluate the financial reporting of debt and equity on both the face of the financial statements and the detailed footnotes. We will also cover accounting for income taxes, stock compensation, treasury stock buybacks, derivatives. and earnings per share. This course will teach you about these transactions from the perspective of both the preparer and user of a company's financial statements, using real-world examples and cases.",,
Advanced Topics in Accounting Research II,ACT713,,3,,,EM,"This course focuses on applications of the tools and methods in ACT 712. The first half reviews and expands upon foundational features of the experimental approach from an interdisciplinary perspective. The main goal of this portion of the course is to facilitate the individual's transformation from student to scholar. This transformation continues into the second portion of the course, the purposes of which are 1) to provide broad exposure to the research opportunities available using experimental data to explore management accounting topics, and 2) to develop the new scholar's ability to develop sound research ideas.",,
Applied EPI Directed Study,AEPI597D,fall/spring/summer,3,,,EM,Provides the opportunity to pursue a specialized course of study in an area of special interest.,,
Frsh Seminar: African Studies: What is African Cinema?,AFS190,fall/spring,3,,First Year Seminar,EM,"Introduces first-year students to the interdisciplinary field of African Studies, including historical context, sources, and methods of inquiry; aims to improve critical reading, analytical, and writing skills in small group discussion.",,
Frsh Seminar: African Studies: Global Africa,AFS190,fall/spring,3,,First Year Seminar with Race  Ethnicity,EM,"Introduces first-year students to the interdisciplinary field of African Studies, including historical context, sources, and methods of inquiry; aims to improve critical reading, analytical, and writing skills in small group discussion.",,
Intro to African Studies,AFS263,fall/spring,3,,Humanities and Arts,EM,"Introduction to the African humanities and social sciences through in-depth study of three African regions. Explores major historical trends and their impact on culture, including the slave trade, colonialism, and postcolonial international contacts. Content is drawn from literature (both written literature and oral traditions), film, history, religion, anthropology, sociology, and art.",,
Topic Seminar: African Nationalism/20th Cent.,AFS270,fall/spring,3,,History Society Cultures,EM,An introductory course on African Studies. May be repeated for credit when topic varies.,,
Topic Seminar: African Religions,AFS270,fall/spring,3,,History Society Cultures,EM,An introductory course on African Studies. May be repeated for credit when topic varies.,,
Topic Seminar: Art of the Gods:Black Atlantic,AFS270,fall/spring,3,,HSC wRace  Ethnicity Req,EM,An introductory course on African Studies. May be repeated for credit when topic varies.,,
Luso-African Texts & Cultures,AFS302W,spring,4,PORT201,Intercultural Communication with WritingRE,EM,"This course primarily examines literary and cinematographic artistic productions of the five African countries whose official language is Portuguese. Students formulate responses in Portuguese to the various themes addressed in the different texts and films, both orally and in writing.",,
Nutritional Anthropology,AFS311,,3,,History Society Cultures,EM,"Introduction to the evolution, diversity, and social significance of human diet and nutrition.",,
Gender Violence/Gender Justice,AFS345,spring,3,,History Society Cultures,EM,"This course will examine sexual violence and gender in  conflict, transitional justice, and post-conflict.",,
Human Trafficking: Global History,AFS378,spring,3,,HSC wRace  Ethnicity Req,EM,"The course explores human trafficking from the era of the trans- Atlantic slave trade to present-day instances of trafficking in productive and reproductive labor. Through primary and secondary sources, the students learn about the racial and gender ideologies undergirding this phenomenon.",,
Postcolonial African Art,AFS386,fall,3,,HAP wRace  Ethnicity Req,EM,Treatment of the major issues raised by the new genres of art that have resulted from the African experience of European colonization.,,
Special Topics:African Studies: Culture and Economy,AFS389,fall/spring,3,,History Society Cultures,EM,May be repeated for credit when topic varies.,,
Special Topics:African Studies: Econ. Develop. in ME/N.Africa,AFS389,fall/spring,3,,,EM,May be repeated for credit when topic varies.,,
Special Topics:African Studies: U.S.&Afr. Relations 1800-Pres.,AFS389,fall/spring,3,,,EM,May be repeated for credit when topic varies.,,
Capitalism and Anthropocene,AFS456W,,4,,Continuing Communication,EM,"Jr/Sr Colloquium. This course is an exploration in world history, with a particular interest in how humans have altered planetary processes such as climate. A central issue will be understanding the historical development of capitalism.",,
Special Topics Seminar: African Studies: What is a Map?,AFS489W,fall/spring,4,,History Society Cultures with Writing,EM,Study of particular subjects pertaining to African Studies. May be repeated for credit when topic varies.,,
African Studies Honors,AFS495BW,spring,4,,Continuing Communication,EM,Open to students approved by the department to write an honors thesis.,,
Introduction to American Studies,AMST201W,fall/spring/summer,4,,Humanities and Arts with ContCommunication,EM,"An interdisciplinary, historically grounded introduction to scholarly approaches to the U.S. and the broader Americas, with emphasis on issues of class, ethnicity, gender, and cross-cultural studies. Prerequisite: ENGRD 223 Rhetorical Grammar (1 credit), which can be taken simultaneously.",,
Asian American History,AMST228,fall/spring,3,,Social Sciences with Race  Ethnicity,EM,"This course introduces students to the history of people of Asian ancestry in the United States, including immigrants, students, professionals, and refugees from East Asia, South Asia, and Southeast Asia. Thematically, it investigates timely issues facing the Asian American community today.",,
Special Topics: American Questions: History of the American West,AMST285,fall/spring,3,,History Society Cultures,EM,Seminars arranged around current issues and controversies in American culture. May be repeated as topic changes. .,,
Special Topics: American Questions: The US and the Cold War,AMST285,fall/spring,3,,History Society Cultures,EM,Seminars arranged around current issues and controversies in American culture. May be repeated as topic changes. .,,
Special Topics: American Questions: The American Death Penalty,AMST285,fall/spring,3,,Social Sciences,EM,Seminars arranged around current issues and controversies in American culture. May be repeated as topic changes. .,,
Migrants & Borders in the US,AMST336,fall/spring,3,,Race and Ethnicity,EM,"This course considers how migrants, the construction of borders, and the formation of transnational communities have shaped the making of the United States. Central themes include class, gender, (il)legality, labor, politics and race/ethnicity.",,
Special Topics: American Studies: The Old South,AMST385,fall/spring,3,,HSC wRace  Ethnicity Req,EM,Specialized courses in American culture and history. May be repeated for credit when topic varies.,,
Special Topics: American Studies: Oral History:Methods/Practices,AMST385,fall/spring,3,,History Society Cultures,EM,Specialized courses in American culture and history. May be repeated for credit when topic varies.,,
Special Topics: American Studies: Information & Power:US History,AMST385,fall/spring,3,,History Society Cultures,EM,Specialized courses in American culture and history. May be repeated for credit when topic varies.,,
"Special Topics: American Studies: Work, Work, Work, Work, Work",AMST385,fall/spring,3,,Humanities Arts Performance,EM,Specialized courses in American culture and history. May be repeated for credit when topic varies.,,
Special Topics: American Studies: The Power of Storytelling,AMST385W,fall/spring,4,,Continuing Communication,EM,Specialized courses in American culture and history. May be repeated for credit when topic varies.,,
Special Topics: American Studies: Black & Indigenous Histories,AMST385W,fall/spring,4,,History Society Cultures with Writing,EM,Specialized courses in American culture and history. May be repeated for credit when topic varies.,,
Special Topics: American Studies: Graffiti and Public Art:,AMST385W,fall/spring,4,,Continuing Communication,EM,Specialized courses in American culture and history. May be repeated for credit when topic varies.,,
Advanced Special Topics in American Studies: The Migrant South,AMST489W,fall/spring,4,,Continuing Communication,EM,"An advanced interdisciplinary treatment of American culture issues, historical events or eras, or literature. The ILA and AMST programs support interdisciplinary inquiry of the Americas across Emory College of Arts and Sciences; this course will be frequently cross-listed with other departments.",,
Honors Thesis,AMST495BW,fall/spring,4,,Continuing Communication,EM,"Fall, spring. Prerequisite: permission of the director of undergraduate studies. Open only to honors candidates in their senior year. Independent research, culminating in the thesis.",,
Senior Research,AMST499R,fall/spring,4,,Experience and Application,EM,"Credit variable. Prerequisite: permission of instructor and the director of undergraduate studies. Independent research and writing on a topic associated with the area of concentration in the major, undertaken with faculty supervision.",,
Introduction to Ancient Mediterranean Societies,ANCMED101,fall,3,,Humanities and Arts,EM,"Social, anthropological, and cultural aspects of two or more ancient Mediterranean cultures from a comparative perspective.",,
Honors Independent Writing,ANCMED495BW,fall/spring,4,,Continuing Communication,EM,Honors thesis research and writing.,,
Independent Writing,ANCMED498RW,,4,,Continuing Communication,EM,Senior thesis written under direction of an advisor from the program core faculty.,,
Instrumentation/Physiology/Pharmacology Lab II,ANES505B,,2,,,EM,,,
Principals of Airway Management I,ANES512A,,1,,,EM,,,
Anesthesia Delivery Systems& Equip,ANES513,,1,,,EM,,,
Anesthesiology Practice I,ANES536A,fall/spring,4,,,EM,,,
Clinical Methods I,ANES540A,,1,,,EM,,,
Clinical Anesthesia I,ANES561A,,3,,,EM,,,
Senior Seminar In Anesthesia I,ANES611A,,1,,,EM,,,
Clinical Anesthesia IV,ANES660A,,2,,,EM,,,
Comprehensive Examinations I,ANES680A,,2,,,EM,,,
Introduction To Anthropology,ANT101,fall/spring,3,,Social Sciences,EM,"Survey of the study of the human species: its evolution, prehistory, language, and comparative social and cultural systems.",,
Freshman Seminar:Anthropology: Animals Through the Ages,ANT190,fall/spring,3,,First Year Seminar,EM,Seminar on various anthropological topics. Satisfies general education Freshman Seminar.,,
Freshman Seminar:Anthropology: Global Africa,ANT190,fall/spring,3,,First Year Seminar with Race  Ethnicity,EM,Seminar on various anthropological topics. Satisfies general education Freshman Seminar.,,
Concepts And Methods in Biol Anth,ANT201,fall/spring,4,,Natural Sciences,EM,"Biological and cultural evolution and adaptation of the human species, fossil populations, human variation, and primate behavior. Methods in biological anthropology, survey of the prehistoric evolution of cultures, contemporary issues in paleoanthropology. Weekly lab in biological anthro methods.",,
Concepts And Methods in Biol Anth,ANT201,fall/spring,4,,,EM,"Biological and cultural evolution and adaptation of the human species, fossil populations, human variation, and primate behavior. Methods in biological anthropology, survey of the prehistoric evolution of cultures, contemporary issues in paleoanthropology. Weekly lab in biological anthro methods.",,
Concepts and Methods in Cultural Anthropology,ANT202,fall/spring,4,,Social Sciences,EM,"This course explores key concepts in cultural anthropology. Through engaging ethnographic accounts from different world areas, students will analyze anthropological debates about culture, race, religion, ritual, health, gender, sexuality, politics, and/or exchange and learn about fieldwork methods.",,
Concepts and Methods in Cultural Anthropology,ANT202,fall/spring,4,,,EM,"This course explores key concepts in cultural anthropology. Through engaging ethnographic accounts from different world areas, students will analyze anthropological debates about culture, race, religion, ritual, health, gender, sexuality, politics, and/or exchange and learn about fieldwork methods.",,
Foundations of Linguistics,ANT203,,3,,Social Sciences,EM,"An introduction to the systematic study of human language, surveying the fields of phonetics, phonology, morphology, syntax, semantics, pragmatics, sociolinguistics, child language acquisition, and historical linguistics.",,
